pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,cluster_kmeans_k4,cluster_minibatch_k9
68,63,54,31,34,28,2,1
52,53,54,27,30,27,2,1
56,51,53,23,33,24,2,1
62,62,54,22,34,20,2,1
90,104,54,27,31,24,0,2
51,58,54,20,30,21,2,1
49,93,34,20,46,12,0,5
37,85,34,17,67,12,0,5
45,89,32,20,43,17,0,5
40,84,34,18,41,13,0,5
37,81,35,18,43,12,0,5
26,86,36,20,40,17,0,5
65,89,55,8,24,18,2,2
72,103,55,11,24,19,0,2
68,103,55,8,23,13,0,2
64,92,54,7,24,16,2,2
65,89,54,8,21,16,2,2
60,81,54,8,21,20,2,2
68,99,55,9,27,15,0,2
64,78,55,9,19,17,2,2
77,115,56,8,20,12,0,2
72,102,56,12,20,20,2,2
75,110,56,17,21,29,2,2
67,95,56,14,22,19,2,2
71,99,56,12,24,12,0,2
77,106,57,12,25,16,0,2
80,106,56,11,24,12,0,2
71,91,56,10,19,19,2,2
60,81,56,11,16,20,2,2
35,55,55,10,14,15,2,6
59,78,56,17,16,34,2,4
70,97,56,12,24,15,0,2
79,106,56,12,22,18,0,2
67,91,56,9,21,16,2,2
66,98,57,10,20,15,2,2
74,107,56,11,24,13,0,2
45,62,54,8,13,20,2,6
58,77,54,11,15,24,2,2
61,76,54,11,17,25,2,2
52,73,55,12,19,29,2,6
49,73,55,19,17,67,2,4
49,72,55,13,16,50,2,4
64,84,55,12,17,34,2,2
71,94,55,13,19,32,2,2
67,90,56,13,15,39,2,4
63,80,55,9,15,31,2,2
63,75,55,8,13,27,2,2
64,74,55,14,11,38,2,4
52,67,55,8,14,22,2,6
63,73,55,13,11,28,2,2
67,74,55,17,10,45,2,4
69,85,55,10,15,20,2,2
56,71,55,10,18,29,2,6
60,72,55,11,16,38,2,4
57,72,56,11,18,36,2,4
69,84,56,15,15,41,2,4
67,80,56,14,16,42,2,4
68,81,56,10,16,37,2,4
64,72,56,10,13,39,2,4
65,70,56,13,12,44,2,4
27,34,55,7,12,38,2,6
61,70,56,15,12,65,2,4
59,73,56,13,16,39,2,4
70,82,55,20,14,36,2,4
61,19,55,11,12,37,2,6
61,19,55,12,14,38,2,6
69,17,13,13,16,22,1,3
56,71,29,14,16,6,1,0
64,88,29,15,19,9,0,0
68,90,30,23,15,8,0,0
79,107,30,32,15,13,0,0
71,97,30,19,17,10,0,0
78,107,30,22,16,12,0,0
76,101,30,17,18,10,0,0
85,111,30,18,13,13,0,0
74,96,30,13,15,7,0,0
75,92,30,12,13,7,0,0
67,85,30,13,11,6,0,0
62,82,30,15,14,6,0,0
69,94,30,15,14,10,0,0
75,98,30,12,12,8,0,0
82,111,30,13,20,8,0,0
74,98,30,12,18,9,0,0
77,105,31,14,18,11,0,0
69,92,31,17,18,11,0,0
83,110,31,18,20,10,0,0
83,107,31,17,20,15,0,0
84,106,31,16,22,9,0,0
78,95,31,15,16,8,0,0
82,95,30,18,10,6,0,0
41,55,30,12,9,8,1,3
71,88,30,15,11,8,0,0
81,104,31,13,22,9,0,0
81,104,31,14,20,8,0,0
77,94,31,11,18,7,0,0
77,100,31,11,19,10,0,0
91,110,31,13,22,9,0,0
41,64,23,17,64,13,0,5
53,81,23,17,62,13,0,5
58,95,24,18,75,17,0,5
62,97,26,22,57,27,0,5
60,97,26,23,58,21,0,5
56,86,26,18,60,17,0,5
68,111,28,21,54,26,0,5
65,107,28,20,58,23,0,5
66,109,28,22,60,20,0,5
54,80,26,16,61,12,0,5
52,82,25,17,65,14,0,5
56,87,25,23,53,16,0,5
45,72,24,16,59,11,0,5
60,101,25,23,61,22,0,5
59,91,26,23,57,21,0,5
58,95,26,20,58,15,0,5
57,96,27,20,63,17,0,5
62,101,29,21,65,21,0,5
68,108,28,21,66,21,0,5
66,80,24,20,60,17,0,5
57,83,24,22,57,20,0,5
29,53,25,18,57,17,1,5
62,94,31,26,57,22,0,5
60,95,30,22,65,20,0,5
66,110,27,26,64,26,0,5
56,87,26,17,62,14,0,5
54,95,28,18,66,19,0,5
62,111,28,21,69,22,0,5
33,86,39,19,47,14,0,5
39,79,38,18,42,13,0,5
30,88,40,19,40,14,0,5
22,88,38,20,47,16,0,5
37,98,38,19,57,14,0,5
30,109,39,20,62,14,0,5
21,92,37,19,55,14,0,5
37,85,37,21,42,18,0,5
47,109,35,28,44,24,0,5
35,79,35,26,42,21,0,5
27,80,35,23,42,21,0,5
30,99,36,22,47,20,0,5
29,95,36,22,40,25,0,5
18,79,38,20,35,14,0,5
63,91,13,29,24,46,3,8
61,85,13,27,23,52,3,8
61,90,13,29,20,44,3,8
59,82,16,26,21,40,3,8
56,80,12,30,19,46,3,8
52,73,10,27,27,40,3,8
72,108,16,31,24,48,3,8
55,76,16,25,21,40,3,8
55,76,13,26,24,41,3,8
30,80,35,17,47,10,0,5
28,79,35,18,40,11,0,5
17,65,34,17,48,9,0,5
38,76,33,24,36,17,0,5
26,68,34,19,28,18,1,0
23,103,39,20,54,15,0,5
38,81,34,21,49,18,0,5
34,88,34,19,49,16,0,5
28,87,35,20,45,13,0,5
26,93,36,20,44,14,0,5
61,101,28,19,62,20,0,5
57,90,28,17,58,17,0,5
60,101,27,21,59,22,0,5
68,103,13,28,26,44,3,8
60,85,11,27,37,44,3,8
47,64,10,28,26,45,3,8
50,74,10,29,29,39,3,8
53,78,10,26,23,37,3,8
53,75,16,24,21,42,3,8
62,91,13,26,27,42,3,8
64,96,16,28,23,42,3,8
61,91,15,25,19,33,3,8
55,81,15,23,21,35,3,8
56,77,12,22,28,28,3,8
54,78,12,23,24,30,3,8
62,93,19,26,25,44,3,8
62,93,17,26,27,43,3,8
63,90,14,26,38,38,3,8
64,91,15,28,33,48,3,8
65,92,15,25,31,44,3,8
62,93,13,23,30,32,3,8
60,86,13,24,32,38,3,8
64,93,14,26,27,46,3,8
67,96,17,27,27,47,3,8
63,84,19,25,26,40,3,8
56,77,12,23,28,32,3,8
62,98,13,27,24,43,3,8
66,90,13,25,28,37,3,8
55,78,13,24,28,39,3,8
69,106,14,30,36,50,3,8
62,86,14,24,33,41,3,8
65,98,14,26,41,42,3,8
68,98,15,28,30,46,3,8
56,75,14,25,24,40,3,8
65,99,57,10,34,23,2,2
64,86,57,11,28,27,2,2
56,70,58,9,21,31,2,6
54,83,58,13,23,37,2,4
56,80,57,12,28,24,2,2
61,83,58,10,25,23,2,2
62,92,57,10,33,20,2,2
74,107,59,12,25,32,2,2
67,91,57,10,23,20,2,2
60,85,57,9,23,17,2,2
59,79,57,8,30,12,2,2
55,83,57,9,28,14,2,2
66,102,59,13,29,34,2,2
71,100,58,11,30,29,2,2
67,93,57,10,40,22,2,2
62,90,11,28,31,41,3,8
55,74,9,26,25,38,3,8
69,103,12,38,29,51,3,8
58,78,9,36,26,52,3,8
53,66,10,28,21,41,3,8
30,38,8,24,15,24,1,3
24,41,8,24,24,26,1,3
31,53,11,23,24,30,1,8
43,66,8,31,28,49,3,8
55,77,11,24,32,37,3,8
64,94,13,32,25,50,3,8
60,86,11,26,35,43,3,8
66,93,15,30,23,50,3,8
59,83,12,27,26,41,3,8
58,85,15,25,28,40,3,8
58,92,13,27,28,49,3,8
59,88,17,26,20,45,3,8
63,91,17,25,27,40,3,8
73,102,16,8,22,48,3,7
67,95,14,5,24,45,3,7
50,61,11,5,24,40,3,8
58,76,14,5,26,44,3,7
63,88,17,6,27,51,3,7
55,77,16,5,16,42,3,7
58,82,16,15,24,41,3,8
62,88,16,25,22,40,3,8
63,87,18,23,27,32,3,8
69,99,14,34,19,50,3,8
60,79,18,26,31,37,3,8
58,76,12,35,26,51,3,8
49,61,16,30,21,36,3,8
52,66,18,25,23,33,3,8
50,69,14,28,33,38,3,8
54,73,9,26,41,42,3,8
53,72,11,27,32,32,3,8
63,98,13,24,33,30,3,8
67,93,15,30,27,46,3,8
62,87,16,25,24,37,3,8
62,89,16,26,26,43,3,8
63,90,15,25,30,41,3,8
63,89,17,25,27,35,3,8
57,85,15,26,20,40,3,8
58,76,20,26,20,34,3,8
51,65,13,30,23,29,3,8
56,74,14,25,23,32,3,8
53,67,12,27,24,33,3,8
52,74,11,34,22,34,3,8
41,58,10,24,23,33,3,8
74,106,56,13,23,18,0,2
70,98,57,18,20,26,2,2
48,61,55,10,18,17,2,6
57,80,56,14,17,26,2,2
70,97,56,15,21,28,2,2
62,87,56,12,21,18,2,2
65,88,57,10,24,14,2,2
68,94,56,12,22,21,2,2
61,82,56,9,26,7,2,2
66,96,57,17,18,30,2,2
58,99,60,11,19,21,2,2
58,86,57,21,14,46,2,4
57,69,56,14,16,38,2,4
60,77,57,9,18,26,2,2
55,77,56,10,23,25,2,2
54,68,55,12,28,26,2,6
56,77,55,11,22,23,2,2
57,110,58,12,22,18,0,2
74,107,57,19,16,36,2,2
67,94,57,11,22,17,2,2
75,106,58,14,25,29,2,2
76,103,57,12,26,20,0,2
83,104,59,13,20,23,2,2
67,99,57,15,20,24,2,2
67,84,57,11,16,20,2,2
63,76,57,17,12,52,2,4
74,96,57,10,16,23,2,2
59,75,57,10,14,21,2,2
60,82,59,16,12,42,2,4
55,68,58,17,14,42,2,4
73,84,55,17,15,36,2,2
59,61,55,16,15,39,2,4
54,57,55,12,12,32,2,6
56,64,55,15,12,39,2,4
68,78,55,17,14,41,2,4
51,58,56,10,17,34,2,6
66,75,56,12,19,34,2,2
67,78,56,16,16,38,2,4
71,76,56,13,15,28,2,2
65,71,55,17,13,45,2,4
59,59,55,15,14,36,2,6
53,57,56,16,12,52,2,4
38,70,56,12,7,53,2,4
53,80,57,15,10,91,2,4
44,68,57,11,10,36,2,6
38,67,56,12,14,35,2,6
53,81,57,10,15,34,2,4
92,141,56,26,11,78,3,4
68,106,56,15,11,51,2,4
54,88,57,8,17,31,2,2
64,105,58,12,18,37,2,2
62,101,57,12,16,38,2,2
58,92,58,10,14,35,2,2
49,101,58,12,14,37,2,4
62,98,57,12,13,43,2,4
50,71,57,13,8,76,2,4
52,75,57,9,11,40,2,4
50,69,57,18,7,63,2,4
60,11,59,18,7,83,2,4
27,10,57,9,10,47,2,6
97,120,31,13,19,8,0,0
73,91,31,12,14,12,0,0
60,71,31,12,12,9,1,0
87,106,31,13,12,8,0,0
74,93,31,14,17,10,0,0
70,85,32,12,16,12,0,0
79,97,31,13,18,8,0,0
78,96,32,12,16,14,0,0
78,92,32,11,16,7,0,0
84,100,32,12,12,10,0,0
74,88,31,11,14,7,0,0
63,70,31,12,7,9,1,0
61,72,31,12,4,6,1,0
49,74,32,11,8,6,1,0
49,73,33,34,15,8,0,0
56,63,40,25,11,16,1,1
57,76,39,23,15,10,0,0
87,113,40,31,15,12,0,0
77,97,40,28,13,16,0,0
76,92,41,21,15,16,0,0
78,100,41,24,19,22,0,2
74,103,40,23,17,18,0,0
75,91,41,22,14,20,0,0
69,90,41,25,16,22,0,0
68,85,40,21,10,17,0,0
71,80,41,27,8,16,0,0
73,86,41,20,19,13,0,0
63,74,40,26,17,9,0,0
63,76,40,35,15,9,0,1
51,56,40,24,11,14,1,1
70,124,28,25,67,26,0,5
66,112,27,24,70,21,0,5
43,66,24,18,76,16,0,5
58,100,24,28,71,25,0,5
74,128,25,31,71,31,0,5
52,84,29,18,50,18,0,5
60,103,27,21,68,22,0,5
63,109,30,24,58,22,0,5
60,99,28,20,72,19,0,5
60,104,28,27,61,25,0,5
53,88,27,20,73,18,0,5
56,92,26,27,66,27,0,5
44,70,29,21,45,19,0,5
39,69,33,19,53,18,0,5
46,77,29,23,46,22,0,5
44,74,28,23,63,23,0,5
47,77,28,20,53,14,0,5
67,124,29,25,52,14,0,5
67,112,30,29,48,22,0,5
54,88,32,19,48,18,0,5
64,110,34,23,38,24,0,5
63,105,32,22,51,19,0,5
61,97,34,21,35,16,0,5
60,103,33,22,39,20,0,5
58,91,35,21,39,18,0,5
55,84,31,29,29,13,0,0
47,74,34,18,41,16,0,5
46,70,35,24,45,19,0,5
55,87,30,30,46,14,0,5
38,66,31,22,35,16,0,1
70,98,57,12,29,31,2,2
58,84,15,25,23,38,3,8
60,84,17,24,24,38,3,8
59,87,13,24,26,35,3,8
59,79,12,24,29,38,3,8
63,92,16,25,33,41,3,8
75,99,23,27,27,44,3,8
61,83,16,26,28,43,3,8
59,84,15,27,15,42,3,8
64,94,17,24,18,37,3,8
64,102,16,24,29,33,3,8
63,90,15,23,25,33,3,8
63,96,16,26,20,44,3,8
69,105,16,27,21,49,3,8
61,92,57,15,22,26,2,2
59,74,58,12,17,26,2,2
71,103,57,18,21,48,2,4
59,76,56,21,19,54,2,4
53,70,57,15,13,48,2,4
33,47,57,10,10,25,2,6
35,53,58,15,13,44,2,6
42,56,58,11,15,23,2,6
39,65,57,12,19,32,2,6
62,79,57,10,22,25,2,2
67,101,57,16,24,40,2,2
79,109,60,17,24,46,2,4
65,90,57,14,28,27,2,2
66,96,57,15,33,32,2,2
66,96,57,14,31,31,2,2
71,97,58,13,26,30,2,2
71,95,58,11,30,17,2,2
66,89,58,11,26,20,2,2
67,87,58,11,27,23,2,2
63,89,57,11,30,16,2,2
58,78,57,11,39,15,2,2
64,88,57,11,38,23,2,2
80,115,59,12,30,37,2,2
70,92,57,11,36,28,2,2
64,93,58,11,28,25,2,2
70,100,58,10,28,22,2,2
72,104,58,10,33,17,0,2
67,93,57,9,31,12,0,2
75,106,58,11,27,27,2,2
78,110,58,11,30,26,2,2
56,89,57,13,13,41,2,4
35,67,57,10,11,37,2,6
71,106,58,21,12,77,3,4
46,71,57,15,12,62,2,4
52,69,58,12,9,57,2,4
31,58,57,11,10,45,2,6
51,77,58,7,12,24,2,6
64,101,58,13,11,31,2,2
61,98,58,12,17,32,2,2
68,111,59,19,17,65,2,4
61,92,58,12,17,33,2,2
57,90,58,11,17,29,2,2
54,86,58,9,22,27,2,2
59,93,58,11,17,29,2,2
59,88,58,9,18,26,2,2
53,82,58,8,19,24,2,2
58,89,58,9,19,28,2,2
52,81,58,8,20,25,2,2
51,78,58,8,20,25,2,2
55,83,59,8,23,25,2,2
54,82,60,7,22,30,2,2
45,73,58,7,20,34,2,6
52,76,58,8,15,38,2,4
60,91,59,9,19,32,2,2
62,99,59,9,21,32,2,2
54,15,59,8,22,33,2,6
55,16,59,8,21,32,2,6
62,16,28,26,21,28,1,3
73,98,40,30,18,14,0,0
61,71,40,25,15,15,0,0
77,105,43,36,17,15,0,0
61,68,51,31,17,16,2,1
64,65,51,24,12,16,2,1
51,51,51,20,11,12,1,6
33,46,51,24,11,14,1,6
52,63,51,22,21,10,2,1
46,55,51,22,18,13,2,1
65,74,51,19,20,12,2,2
75,107,51,28,26,17,0,2
79,94,51,26,29,20,0,2
49,102,51,29,21,23,0,2
49,100,51,27,19,22,0,2
49,88,51,23,22,22,2,2
74,81,51,23,29,20,0,2
77,97,51,26,19,22,0,2
76,90,51,21,24,18,0,2
73,81,51,19,24,17,0,2
76,84,51,21,25,16,0,2
70,81,51,20,27,16,0,2
69,80,51,21,32,17,0,1
72,81,52,21,34,19,0,2
77,87,52,21,26,23,0,2
66,74,51,20,30,19,2,1
64,79,52,22,25,17,0,1
75,92,51,20,27,16,0,2
75,90,51,21,31,15,0,2
83,97,52,20,31,17,0,2
80,94,52,23,28,19,0,2
96,113,52,28,28,20,0,2
49,94,34,21,44,17,0,5
48,74,28,19,45,16,0,5
49,121,31,33,43,25,0,5
49,84,30,29,24,25,0,8
49,78,38,24,23,27,0,0
49,43,33,20,17,16,1,3
49,45,32,24,19,13,1,3
49,60,34,22,31,14,1,1
49,66,30,22,36,23,0,1
49,77,35,18,44,15,0,5
66,117,33,27,25,23,0,7
53,96,34,22,36,20,0,5
65,112,34,29,25,32,0,7
59,104,33,25,27,23,0,0
52,89,35,22,31,20,0,0
53,99,34,24,37,24,0,5
57,99,35,25,27,25,0,0
52,89,37,20,36,17,0,5
47,93,34,20,53,15,0,5
51,91,35,19,54,17,0,5
45,88,33,18,58,13,0,5
39,82,32,18,61,13,0,5
47,85,35,18,52,14,0,5
53,95,38,19,41,16,0,5
44,84,34,19,47,15,0,5
53,90,34,20,37,16,0,5
52,91,36,19,44,16,0,5
55,104,34,20,54,14,0,5
44,94,34,20,46,15,0,5
53,102,33,21,39,19,0,5
59,112,34,22,42,22,0,5
65,91,58,11,36,27,2,2
70,95,58,8,34,17,2,2
64,89,58,7,32,10,2,2
61,87,58,8,35,14,2,2
68,97,58,9,31,20,2,2
73,102,58,9,33,23,2,2
65,91,59,9,28,22,2,2
57,79,57,7,29,9,2,2
66,101,58,10,28,27,2,2
65,93,58,9,30,17,2,2
54,82,58,9,35,18,2,2
70,106,58,12,36,31,2,2
71,94,58,9,32,29,2,2
70,101,58,9,43,25,0,2
68,93,58,11,28,34,2,2
59,80,58,8,31,22,2,2
60,99,59,10,18,40,2,4
45,73,58,10,11,44,2,4
33,60,58,12,5,53,2,4
45,65,58,14,4,59,2,4
46,72,58,10,5,41,2,4
53,80,58,10,6,38,2,4
57,92,58,9,7,33,2,2
69,112,59,14,9,48,2,4
62,94,59,11,16,46,2,4
54,84,59,9,19,31,2,2
51,76,58,7,19,19,2,2
43,74,59,7,22,29,2,6
64,95,61,12,27,47,2,4
62,96,61,11,32,40,2,2
63,93,60,11,29,45,2,4
58,94,60,10,32,44,2,4
69,104,62,13,38,50,2,4
66,104,61,11,36,38,2,2
56,85,60,8,35,36,2,2
64,103,62,11,32,50,2,4
63,103,63,12,29,58,2,4
62,89,63,9,31,48,2,4
60,88,60,9,29,48,2,4
59,92,60,9,32,32,2,2
55,82,60,8,33,30,2,2
60,90,60,12,26,50,2,4
65,98,61,12,30,50,2,4
54,80,61,8,37,39,2,4
61,14,61,10,33,46,2,6
59,15,61,11,32,50,2,6
47,14,19,22,32,38,1,3
72,83,51,21,32,17,0,2
63,75,51,23,28,20,0,1
54,58,51,22,22,14,2,1
58,64,51,29,18,13,2,1
53,67,51,21,21,15,2,1
67,75,52,21,24,17,2,1
76,87,52,21,30,17,0,2
91,98,52,25,32,22,0,2
78,85,53,23,32,19,0,2
64,75,53,19,39,18,0,1
62,68,52,17,47,15,0,1
56,66,52,17,43,14,0,1
75,88,53,23,38,24,0,2
78,85,53,24,37,25,0,2
78,84,53,22,42,22,0,2
73,83,53,23,44,24,0,1
75,93,54,24,56,23,0,5
76,90,53,21,46,16,0,2
70,81,53,20,48,15,0,1
81,95,53,22,48,20,0,2
85,95,53,23,43,23,0,2
86,102,54,19,47,17,0,2
87,103,52,20,31,13,0,2
69,85,53,22,40,24,0,2
75,80,53,21,40,19,0,1
72,76,53,22,40,21,0,1
71,84,54,26,43,29,0,1
70,79,53,20,52,22,0,1
187,123,54,23,48,33,0,2
71,82,53,23,43,26,0,1
133,135,53,19,38,21,0,2
57,107,32,20,55,15,0,5
54,90,32,21,53,16,0,5
36,70,32,21,48,18,0,5
51,82,31,26,48,20,0,5
51,84,33,19,47,15,0,5
45,81,36,19,43,17,0,5
53,101,33,20,44,18,0,5
64,118,35,24,32,24,0,7
52,97,35,20,39,15,0,5
43,89,35,18,43,15,0,5
43,85,32,17,51,10,0,5
36,86,33,18,42,11,0,5
59,110,36,23,32,23,0,7
58,109,36,22,40,21,0,5
48,100,35,21,50,18,0,5
55,103,35,22,45,19,0,5
51,107,37,22,51,21,0,5
55,107,34,21,50,16,0,5
46,94,33,19,57,15,0,5
62,115,33,22,52,18,0,5
64,118,35,21,54,18,0,5
47,87,39,18,48,15,0,5
46,79,33,17,67,12,0,5
54,101,35,19,47,16,0,5
52,93,34,18,50,11,0,5
54,102,35,21,40,17,0,5
65,116,36,22,58,18,0,5
50,87,36,20,46,17,0,5
59,107,37,20,62,16,0,5
65,127,36,23,47,21,0,5
42,80,35,18,41,13,0,5
59,84,59,11,32,25,2,2
72,89,59,11,33,35,2,2
67,87,59,8,34,25,2,2
68,89,59,6,33,21,2,2
74,97,59,5,34,14,2,2
67,85,60,9,24,17,2,2
60,74,59,9,21,16,2,2
66,91,59,22,23,57,2,4
57,75,59,15,21,42,2,4
63,79,60,15,20,43,2,4
58,74,59,9,22,15,2,2
61,80,58,12,24,21,2,2
52,67,59,11,22,21,2,6
54,79,61,9,33,45,2,4
57,84,61,8,32,46,2,4
51,72,60,8,29,42,2,4
46,71,61,7,31,38,2,4
51,66,61,7,23,41,2,4
48,70,61,8,27,39,2,4
56,74,61,7,26,38,2,4
48,70,61,6,23,34,2,6
44,61,61,6,24,34,2,6
34,71,60,8,20,44,2,4
55,80,61,11,28,52,2,4
51,68,60,10,26,51,2,4
65,87,59,11,35,22,2,2
53,70,60,8,32,47,2,4
51,74,61,8,33,44,2,4
59,84,61,9,28,44,2,4
60,61,52,22,44,24,2,1
65,63,53,25,47,26,2,1
54,57,53,20,51,27,2,1
50,55,53,20,56,31,2,1
68,70,53,24,49,28,0,1
64,80,54,28,42,34,2,1
51,62,54,21,34,19,2,1
72,73,53,28,37,36,2,1
57,59,54,19,51,24,2,1
51,56,54,19,40,25,2,1
53,55,53,19,45,22,2,1
52,53,53,19,42,22,2,1
52,57,55,18,52,22,2,1
60,66,54,23,44,26,2,1
66,64,54,21,44,24,2,1
64,63,54,21,45,30,2,1
62,59,53,24,41,27,2,1
33,103,37,22,51,17,0,5
25,90,37,20,54,16,0,5
25,95,38,22,49,17,0,5
30,94,38,22,46,16,0,5
22,80,37,21,44,18,0,5
19,76,36,21,49,15,0,5
35,121,38,27,46,19,0,5
25,84,39,21,39,17,0,5
24,82,37,20,52,13,0,5
32,92,38,20,52,14,0,5
20,102,39,23,44,20,0,5
21,92,39,20,48,16,0,5
49,111,41,21,51,14,0,5
68,113,38,22,48,17,0,5
34,84,39,19,61,12,0,5
32,111,40,22,59,18,0,5
53,75,39,20,43,16,0,5
47,73,38,19,49,12,0,5
61,93,42,21,51,15,0,5
55,84,40,18,33,11,0,0
38,81,39,19,36,11,0,5
54,92,40,21,43,17,0,5
52,87,42,19,59,13,0,5
43,79,40,17,55,11,0,5
50,82,39,20,59,17,0,5
50,78,39,21,44,16,0,5
48,75,45,17,42,10,0,1
42,79,40,18,52,10,0,5
